"Index","X","Y","Error"
"1","75.047","345.307","0.0475184174820647"
"2","75.05","343.649","0.0499999999999972"
"3","75.415","340.728","0.415000000000006"
"4","75.054","339.507","0.054000000000002"
"5","75.056","336.97","0.0559999999999974"
"6","75.446","335.558","0.445999999999998"
"7","75.358","332.598","0.358000000000004"
"8","75.059","331.517","0.0589999999999975"
"9","75.06","327.65","0.0600000000000023"
"10","75.061","327.143","0.061000000000007"
"11","75.061","323.574","0.061000000000007"
"12","75.062","323.024","0.0619999999999976"
"13","75.062","319.61","0.0619999999999976"
"14","75.062","319.021","0.0619999999999976"
"15","75.063","315.531","0.0630000000000024"
"16","75.063","314.905","0.0630000000000024"
"17","75.491","311.362","0.491"
"18","75.063","311.032","0.0630000000000024"
"19","75.063","307.131","0.0630000000000024"
"20","75.063","306.433","0.0630000000000024"
"21","75.063","302.127","0.0630000000000024"
"22","75.063","301.39","0.0630000000000024"
"23","75.063","296.258","0.0630000000000024"
"24","75.491","295.866","0.491"
"25","75.063","291.471","0.0630000000000024"
"26","75.063","290.653","0.0630000000000024"
"27","75.062","286.683","0.0619999999999976"
"28","75.486","286.257","0.486000000000004"
"29","75.062","281.473","0.0619999999999976"
"30","75.062","280.583","0.0619999999999976"
"31","75.061","276.27","0.061000000000007"
"32","75.061","275.344","0.061000000000007"
"33","75.472","269.168","0.471999999999994"
"34","75.06","268.682","0.0600000000000023"
"35","75.06","264.981","0.0600000000000023"
"36","75.06","263.978","0.0600000000000023"
"37","75.059","256.765","0.0589999999999975"
"38","75.059","255.707","0.0589999999999975"
"39","75.452","251.128","0.451999999999998"
"40","75.058","250.581","0.0580000000000069"
"41","75.058","249.481","0.522230791891867"
