"Index","X","Y","Error"
"1","194.491","208.443","0.0124457071790787"
"2","193.744","207.584","0.0325521646498919"
"3","192.791","206.216","0.0466876988089651"
"4","192.791","206.216","0.0466876988089651"
"5","192.791","206.216","0.0466876988089651"
"6","192.791","206.216","0.0466876988089651"
"7","192.791","206.216","0.0466876988089651"
"8","192.791","206.216","0.0466876988089651"
"9","192.791","206.216","0.0466876988089651"
"10","192.791","206.216","0.0466876988089651"
"11","192.791","206.216","0.0466876988089651"
"12","192.791","206.216","0.0466876988089651"
"13","192.515","206.029","0.0950751426273373"
"14","192.515","206.029","0.0950751426273373"
"15","192.515","206.029","0.0950751426273373"
"16","192.515","206.029","0.0950751426273373"
"17","192.515","206.029","0.0950751426273373"
"18","192.515","206.029","0.0950751426273373"
"19","192.515","206.029","0.0950751426273373"
"20","192.515","206.029","0.0950751426273373"
"21","192.515","206.029","0.0950751426273373"
"22","192.515","206.029","0.0950751426273373"
"23","191.489","203.505","0.0334788642000442"
"24","191.524","203.347","0.044941359020116"
"25","191.524","203.347","0.044941359020116"
"26","191.524","203.347","0.044941359020116"
"27","191.524","203.347","0.044941359020116"
"28","191.524","203.347","0.044941359020116"
"29","191.524","203.347","0.044941359020116"
"30","191.524","203.347","0.044941359020116"
"31","191.524","203.347","0.044941359020116"
"32","191.524","203.347","0.044941359020116"
"33","191.245","203.154","0.17081510105119"
"34","191.384","202.522","0.112215658068278"
"35","190.878","200.353","0.127139015624292"
"36","190.878","200.353","0.127139015624292"
"37","190.878","200.353","0.127139015624292"
"38","190.878","200.353","0.127139015624292"
"39","190.878","200.353","0.127139015624292"
"40","190.878","200.353","0.127139015624292"
"41","190.878","200.353","0.127139015624292"
"42","190.878","200.353","0.127139015624292"
"43","190.878","200.353","0.127139015624292"
"44","190.878","200.353","0.127139015624292"
"45","187.253","199.945","0.0550000000000068"
"46","184.646","200.039","0.0389999999999873"
"47","178.327","199.987","0.0130000000000052"
"48","175.97","200.35","0.349999999999994"
"49","169.641","200.179","0.179000000000002"
"50","167.09","199.871","0.128999999999991"
"51","161.69","199.854","0.145999999999987"
"52","159.621","200.303","0.302999999999997"
"53","154.209","200.279","0.278999999999996"
"54","151.619","200.117","0.11699999999999"
"55","145.863","200.133","0.13300000000001"
"56","143.638","199.825","0.175000000000011"
"57","138.055","199.81","0.189999999999998"
"58","136.135","200.243","0.242999999999995"
"59","130.877","200.225","0.224999999999994"
"60","128.647","199.964","0.0360000000000014"
"61","123.21","200.013","0.0130000000000052"
"62","120.95","199.875","0.125"
"63","118.755","200.071","0.24394147008888"
"64","118.755","200.071","0.24394147008888"
"65","118.755","200.071","0.24394147008888"
"66","118.755","200.071","0.24394147008888"
"67","118.656","202.545","0.0681857066628705"
"68","118.429","203.264","0.112803871693763"
"69","117.156","206.149","0.126537124789975"
"70","116.572","206.889","0.2054633433309"
"71","114.86","208.921","0.10962366844383"
"72","114.261","209.653","0.0797257467383158"
"73","111.785","210.881","0.112416314231809"
"74","110.824","211.635","0.247664916134649"
"75","107.956","212.029","0.0679365878767018"
"76","106.905","212.107","0.108370353093103"
